"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"37",608328,"Chase De Jong","279","13.3","0.216","0.108","0.250","0.324","0.231","0.251","0.238","8","37","90.3","15.9","2124","85.8","84.77","7","36","1","-1.0","5.53","109","152","120","147","302","323","291"
"37",503449,"Wily Peralta","602","6.1","0.167","0.000","0.222","0.167","0.143","0.212","0.199","6","36","83.2","5.1","1961","90.6","89.48","9","36","1","-1.1","5.52","109","152","116","143","301","327","301"
"36",641871,"Keynan Middleton","311","11.6","0.171","0.057","0.240","0.229","0.167","0.161","0.159","6","35","88.0","20.0","2447","93.9","93.26","10","35","1","-0.6","6.02","111","151","112","148","299","325","303"
"36",476594,"Robert Stock","609","5.9","0.286","0.086","0.333","0.371","0.283","0.195","0.201","10","35","84.4","11.5","2334","93.7","93.47","4","35","1","-0.2","6.15","114","152","110","149","297","319","301"
"36",521230,"Liam Hendriks","448","8.0","0.139","0.000","0.179","0.139","0.122","0.181","0.177","5","36","84.8","10.4","2212","94.0","94.44","7","35","1","0.4","6.51","110","148","126","150","291","316","298"
"36",657624,"Josh James","349","10.3","0.167","0.083","0.227","0.250","0.179","0.210","0.189","6","36","87.7","17.3","2224","94.1","93.59","10","33","3","-0.5","6.02","111","151","118","149","279","315","292"
"36",605154,"John Brebbia","833","4.3","0.286","0.143","0.474","0.429","0.305","0.281","0.210","10","35","87.9","16.6","2490","90.6","90.81","11","32","4","0.2","6.42","115","147","111","149","298","317","301"
"36",571946,"Shelby Miller","328","11.0","0.333","0.306","0.409","0.639","0.409","0.340","0.268","12","36","91.0","10.0","2331","91.1","91.61","6","31","5","0.5","6.56","109","150","116","150","301","331","302"
"35",460283,"Jerry Blevins","779","4.5","0.286","0.171","0.391","0.457","0.316","0.270","0.233","10","35","83.4","21.8","2255","80.4","80.24","8","32","3","-0.2","6.29","113","154","117","149","295","324","305"
"35",593974,"Wandy Peralta","867","4.0","0.200","0.057","0.250","0.257","0.197","0.293","0.275","7","35","88.5","13.6","2094","90.0","88.53","6","34","1","-1.5","5.41","109","150","110","144","299","306","286"
